label_set,N,model,topk,context_idx,span_m,load_kNm,gt_economy,mode,feasible,gap,n_dec,n_repair,n_total
0,50,knn,3,18,6.818181818181818,85.45454545454545,698.212152166206,scale,1,0.004921087590237905,9,18,27
0,50,knn,3,18,6.818181818181818,85.45454545454545,698.212152166206,scale+thin,1,0.004921087590237905,9,55,64
0,50,knn,1,20,6.818181818181818,107.27272727272728,798.4291807439346,none,1,0.005414495586761658,2,0,2
0,50,knn,1,20,6.818181818181818,107.27272727272728,798.4291807439346,scale,1,0.0035513784787621905,2,18,20
0,50,knn,1,20,6.818181818181818,107.27272727272728,798.4291807439346,scale+thin,1,0.0035513784787621905,2,55,57
0,50,knn,2,20,6.818181818181818,107.27272727272728,798.4291807439346,none,1,0.005414495586761658,5,0,5
0,50,knn,2,20,6.818181818181818,107.27272727272728,798.4291807439346,scale,1,0.0035513784787621905,5,18,23
0,50,knn,2,20,6.818181818181818,107.27272727272728,798.4291807439346,scale+thin,1,0.0035513784787621905,5,55,60
0,50,knn,3,20,6.818181818181818,107.27272727272728,798.4291807439346,none,1,0.005414495586761658,8,0,8
0,50,knn,3,20,6.818181818181818,107.27272727272728,798.4291807439346,scale,1,0.0035513784787621905,8,18,26
0,50,knn,3,20,6.818181818181818,107.27272727272728,798.4291807439346,scale+thin,1,0.0035513784787621905,8,55,63
0,50,knn,1,19,6.818181818181818,96.36363636363636,733.8166260116295,none,1,0.028476930513345877,3,0,3
0,50,knn,1,19,6.818181818181818,96.36363636363636,733.8166260116295,scale,1,0.026994447089999207,3,18,21
0,50,knn,1,19,6.818181818181818,96.36363636363636,733.8166260116295,scale+thin,1,0.026994447089999207,3,55,58
0,50,knn,2,19,6.818181818181818,96.36363636363636,733.8166260116295,none,1,0.028476930513345877,6,0,6
0,50,knn,2,19,6.818181818181818,96.36363636363636,733.8166260116295,scale,1,0.026994447089999207,6,18,24
0,50,knn,2,19,6.818181818181818,96.36363636363636,733.8166260116295,scale+thin,1,0.026994447089999207,6,55,61
0,50,knn,3,19,6.818181818181818,96.36363636363636,733.8166260116295,none,1,0.028476930513345877,9,0,9
0,50,knn,3,19,6.818181818181818,96.36363636363636,733.8166260116295,scale,1,0.026994447089999207,9,18,27
0,50,knn,3,19,6.818181818181818,96.36363636363636,733.8166260116295,scale+thin,1,0.026994447089999207,9,55,64
0,50,knn,1,21,6.818181818181818,118.18181818181816,852.2289524013323,none,1,0.0028205147369220196,2,0,2
0,50,knn,1,21,6.818181818181818,118.18181818181816,852.2289524013323,scale,1,0.002040273400270687,2,18,20
0,50,knn,1,21,6.818181818181818,118.18181818181816,852.2289524013323,scale+thin,1,0.002040273400270687,2,55,57
0,50,knn,2,21,6.818181818181818,118.18181818181816,852.2289524013323,none,1,0.0028205147369220196,5,0,5
0,50,knn,2,21,6.818181818181818,118.18181818181816,852.2289524013323,scale,1,0.002040273400270687,5,18,23
0,50,knn,2,21,6.818181818181818,118.18181818181816,852.2289524013323,scale+thin,1,0.002040273400270687,5,55,60
0,50,knn,3,21,6.818181818181818,118.18181818181816,852.2289524013323,none,1,0.0028205147369220196,8,0,8
