costing,space,proposals,span_m,load_kNm,reference,achieved,gap
original,raw,400,13.363636363636363,85.45454545454545,3626.480295778446,4315.065594471941,0.1898770274569177
original,raw,400,13.363636363636363,96.36363636363636,3985.0843936185074,4969.988910051415,0.2471477186305211
original,raw,400,13.363636363636363,107.27272727272728,4299.585213933902,6357.500942682739,0.4786312228629954
original,raw,400,13.363636363636363,118.18181818181816,4639.765192767582,,
original,raw,400,13.363636363636363,129.0909090909091,5011.593967074791,,
original,raw,400,13.363636363636363,140.0,5775.260737408862,,
original,raw,400,14.181818181818182,20.0,1593.8777053579288,2331.4225591823815,0.4627361630977993
original,raw,400,14.181818181818182,30.909090909090907,2008.2518170171472,2528.1147498135174,0.2588634196126467
original,raw,400,14.181818181818182,41.81818181818181,2553.981911869284,3402.8644679608283,0.332376103427545
original,raw,400,14.181818181818182,52.72727272727273,2994.9908045830825,3684.987916358499,0.23038371627704124
original,raw,400,14.181818181818182,63.63636363636363,3422.394407931884,4476.7433888713695,0.3080734875255413
original,raw,400,14.181818181818182,74.54545454545453,3877.89015147114,4192.754176620701,0.08119467361139998
original,raw,400,14.181818181818182,85.45454545454545,4346.819839298043,,
original,raw,400,14.181818181818182,96.36363636363636,4726.7747503063865,9986.206795839298,1.1126893756026766
original,raw,400,14.181818181818182,107.27272727272728,5228.199585900407,,
original,raw,400,14.181818181818182,118.18181818181816,6021.5726386585375,,
original,raw,400,14.181818181818182,129.0909090909091,7339.357801242832,,
original,raw,400,14.181818181818182,140.0,8792.358071189423,,
original,raw,400,15.0,20.0,1822.7607913317145,2819.5335726333988,0.5468478288768979
original,raw,400,15.0,30.909090909090907,2362.270236410251,3131.8152436906407,0.32576501850601325
original,raw,400,15.0,41.81818181818181,3001.5397178272915,4013.5149818129635,0.33715204832212087
original,raw,400,15.0,52.72727272727273,3503.587546633667,4898.298552238778,0.39808082059921235
original,raw,400,15.0,63.63636363636363,4039.4076811948185,5195.543331193552,0.28621415347132273
original,raw,400,15.0,74.54545454545453,4613.23523086532,7906.839087759263,0.7139466539355617
original,raw,400,15.0,85.45454545454545,5101.637723412046,7767.092801556434,0.5224704737289134
original,raw,400,15.0,96.36363636363636,5729.262990800587,,
original,raw,400,15.0,107.27272727272728,7317.284243630855,,
original,raw,400,15.0,118.18181818181816,9238.359339706907,,
original,raw,4000,6.0,20.0,241.32394330328117,381.64904531710874,0.5814802298231783
original,raw,4000,6.0,30.909090909090907,293.1784667866335,427.91447158313565,0.45956992091973436
original,raw,4000,6.0,41.81818181818181,342.2463887683556,401.9155778016755,0.17434570821346518
original,raw,4000,6.0,52.72727272727273,381.4244664406149,482.1913481778123,0.2641856792185777
original,raw,4000,6.0,63.63636363636363,420.0142340236296,483.0255402742157,0.15002183532437408
original,raw,4000,6.0,74.54545454545453,446.8639375548273,589.5044314177073,0.31920341266155305
original,raw,4000,6.0,85.45454545454545,477.37692626914094,571.1885527368877,0.1965147901070874
original,raw,4000,6.0,96.36363636363636,512.46686792508,600.2289462601345,0.17125415090812246
original,raw,4000,6.0,107.27272727272728,535.2426456429821,600.2371425212626,0.12142996715107257
original,raw,4000,6.0,118.18181818181816,564.7428560600844,676.0438744460315,0.19708264954856825
original,raw,4000,6.0,129.0909090909091,594.324631241322,693.484158614276,0.16684404811869702
original,raw,4000,6.0,140.0,627.5758504760335,738.8043117121067,0.17723508823945888
original,raw,4000,6.818181818181818,20.0,318.7579376671374,492.5949204581407,0.5453573456499532
original,raw,4000,6.818181818181818,30.909090909090907,391.217405378461,445.53094510209223,0.1388321147702738
original,raw,4000,6.818181818181818,41.81818181818181,453.9046681994346,585.9157254412339,0.29083432379196617
original,raw,4000,6.818181818181818,52.72727272727273,500.8636251128394,599.0996678482658,0.19613331415970725
original,raw,4000,6.818181818181818,63.63636363636363,548.9888134965665,698.8380821618581,0.2729550493222004
original,raw,4000,6.818181818181818,74.54545454545453,589.9325742722189,751.6088606091677,0.2740589236598838
original,raw,4000,6.818181818181818,85.45454545454545,633.738385926991,692.959704207257,0.0934475796248968
original,raw,4000,6.818181818181818,96.36363636363636,674.2139324503815,807.5796589229165,0.19780921166643184
original,raw,4000,6.818181818181818,107.27272727272728,721.7545869895499,814.9957816280781,0.12918684040158124
