reference,model,N,topk,mode,amortiser_gap,reference_gap,diff,ci95_lo,ci95_hi,amortiser_win_rate,amortiser_evals,reference_evals,region
PPO OOD (ppo_ood_load),knn,208,3,none,0.03942882431554834,0.3131911241523771,-0.2737622998368288,-0.3369125431648894,-0.2214393048594861,0.9487179487179487,18.070921985815602,38.98723404255319,load_extrapolation
PPO OOD (ppo_ood_load),knn,208,3,scale,0.04921080409481438,0.2122201668941404,-0.16300936279932596,-0.22240969861177468,-0.11116927119663912,0.9090909090909091,35.41843971631206,55.98723404255319,load_extrapolation
PPO OOD (ppo_ood_load),knn,208,3,scale+thin,0.047457331263831073,0.12364167543728745,-0.07618434417345639,-0.12649612201778984,-0.03201057349040408,0.8636363636363636,81.62411347517731,113.83829787234042,load_extrapolation
PPO OOD (ppo_ood_load),mlp,208,1,none,0.03360837592849314,0.27332276484107704,-0.23971438891258384,-0.2815502608274756,-0.20900061635653344,1.0,6.560283687943262,38.98723404255319,load_extrapolation
PPO OOD (ppo_ood_load),mlp,208,1,scale,0.04255395668808671,0.19725311922256164,-0.15469916253447497,-0.2244053806361155,-0.09214818501288727,0.95,23.47517730496454,55.98723404255319,load_extrapolation
PPO OOD (ppo_ood_load),mlp,208,1,scale+thin,0.03411874313468236,0.11060185211679252,-0.07648310898211017,-0.14274224300696867,-0.023778315516078962,0.625,70.68794326241135,113.83829787234042,load_extrapolation
PPO OOD (ppo_ood_load),mlp,208,2,none,0.034843859043726076,0.27373825684578557,-0.23889439780205943,-0.2785859834093473,-0.21038809819527982,1.0,12.843971631205674,38.98723404255319,load_extrapolation
PPO OOD (ppo_ood_load),mlp,208,2,scale,0.03392223214521397,0.1953549143445198,-0.16143268219930582,-0.23557980636847442,-0.10331344921806161,0.9523809523809523,29.77304964539007,55.98723404255319,load_extrapolation
PPO OOD (ppo_ood_load),mlp,208,2,scale+thin,0.024882603236934454,0.10920869615331547,-0.08432609291638102,-0.14676773265325474,-0.034131207877785875,0.7380952380952381,77.82978723404256,113.83829787234042,load_extrapolation
PPO OOD (ppo_ood_load),mlp,208,3,none,0.06571642058189378,0.33170474600102273,-0.265988325419129,-0.32682913349702236,-0.213994769955547,0.975609756097561,17.98581560283688,38.98723404255319,load_extrapolation
PPO OOD (ppo_ood_load),mlp,208,3,scale,0.06060834915738212,0.2122201668941404,-0.15161181773675822,-0.20776370706663003,-0.10195303653711087,0.9090909090909091,35.283687943262414,55.98723404255319,load_extrapolation
PPO OOD (ppo_ood_load),mlp,208,3,scale+thin,0.054106469139738995,0.12364167543728745,-0.06953520629754845,-0.11762952521347796,-0.028259911502715788,0.6818181818181818,84.99290780141844,113.83829787234042,load_extrapolation
PPO OOD (ppo_ood_load),poly3,208,1,none,0.17532608276402345,0.27258869088129917,-0.09726260811727563,-0.14667000176925477,-0.05435551737953686,0.7837837837837838,7.23404255319149,38.98723404255319,load_extrapolation
PPO OOD (ppo_ood_load),poly3,208,1,scale,0.1351961627603389,0.19725311922256164,-0.062056956462222715,-0.13830382466998795,0.005954998705954825,0.55,24.28368794326241,55.98723404255319,load_extrapolation
PPO OOD (ppo_ood_load),poly3,208,1,scale+thin,0.0703076419508261,0.11060185211679252,-0.04029421016596643,-0.11088350029761822,0.017412210869830975,0.35,72.06382978723404,113.83829787234042,load_extrapolation
PPO OOD (ppo_ood_load),poly3,208,2,none,0.1526437764620916,0.27373825684578557,-0.12109448038369394,-0.16383724953570294,-0.08681370726586951,0.9210526315789473,14.23404255319149,38.98723404255319,load_extrapolation
PPO OOD (ppo_ood_load),poly3,208,2,scale,0.13201481123320574,0.1953549143445198,-0.06334010311131405,-0.13790842928055852,0.0028587353089260152,0.5238095238095238,31.24822695035461,55.98723404255319,load_extrapolation
PPO OOD (ppo_ood_load),poly3,208,2,scale+thin,0.07311255202864096,0.10920869615331547,-0.03609614412467451,-0.10258057138832292,0.020473542867888023,0.3333333333333333,77.93617021276596,113.83829787234042,load_extrapolation
PPO OOD (ppo_ood_load),poly3,208,3,none,0.16033525696194095,0.3136251643825828,-0.1532899074206418,-0.222919144653052,-0.09812844301825434,0.925,20.368794326241133,38.98723404255319,load_extrapolation
PPO OOD (ppo_ood_load),poly3,208,3,scale,0.14740579486056282,0.2122201668941404,-0.06481437203357752,-0.13694913972699244,-0.0006282175834518761,0.45454545454545453,37.794326241134755,55.98723404255319,load_extrapolation
