k,label_frac,n_labels,span_m,load_kNm,feasible,reference,achieved,gap,util,section_class,h,b,tf,tw,fy,section_type,grade_match,n_ec3
1,1.0,142,11.727272727272728,107.27272727272728,1,2937.489157347384,2992.751809861685,0.018812887317754212,1.0009989158687187,3.0,727.2502172632603,287.4957999641192,24.647315118916676,7.594046386125726,460.0,rolled,1,24
1,1.0,142,11.727272727272728,118.18181818181816,1,3160.0494447625265,3194.627395686211,0.010942218319081709,1.0009905658816078,3.0,731.2168896923746,292.425353412453,26.45075357563756,7.598146350564445,460.0,rolled,1,24
1,1.0,142,11.727272727272728,129.0909090909091,1,3358.1079283394,3415.2675303124906,0.017021371317674117,1.0009989383613662,3.0,732.8488819429706,293.11519404030054,28.915317369370083,7.550964657571749,460.0,rolled,1,24
1,1.0,142,11.727272727272728,140.0,1,3576.995517433856,3636.72757042438,0.016698945441613322,1.0009974023999608,3.0,750.0,300.0,29.40044603380086,8.445464175449544,460.0,rolled,1,24
1,1.0,142,12.545454545454549,20.0,1,1212.3908752045115,1219.7032169283411,0.006031340117597095,1.000998657358297,3.0,486.821000988286,245.91358642840163,11.103022994890388,6.0,355.0,rolled,1,24
1,1.0,142,12.545454545454549,30.909090909090907,1,1481.0813508506612,1491.1098496629354,0.006771065483009542,1.0009926632085242,3.0,548.269339239031,283.70746989389033,12.232795416619,6.0,355.0,rolled,1,24
1,1.0,142,12.545454545454549,41.81818181818181,1,1783.0201996892802,1837.441493003281,0.030521972394639496,1.0009929523600605,3.0,546.8023379411222,284.6095407367898,14.011755681271588,6.0,460.0,rolled,0,24
1,1.0,142,12.545454545454549,52.72727272727273,1,2087.7440020066583,2145.1613067921076,0.02750208106466201,1.000990213853315,3.0,713.2728340616737,284.6230234379469,17.487202078226474,6.711663853408945,355.0,rolled,0,24
1,1.0,142,12.545454545454549,63.63636363636363,1,2393.181985113689,2522.8192406487433,0.05416940974043638,1.000995780566291,3.0,697.6987190060922,273.53323150821336,23.5735542279009,6.401812090378718,355.0,rolled,1,24
1,1.0,142,12.545454545454549,74.54545454545453,1,2689.930765449427,2785.270960083963,0.03544336376947865,1.000996839172785,3.0,713.2089969776039,286.45850664277947,25.314609508797208,6.539160739051238,355.0,rolled,1,24
1,1.0,142,12.545454545454549,85.45454545454545,1,2997.3064139092285,3077.428190947766,0.026731259996217283,1.0009929283270718,3.0,724.7658693247564,290.23288155908944,23.083069857790502,7.622259844901839,460.0,rolled,0,24
1,1.0,142,12.545454545454549,96.36363636363636,1,3286.35898355342,3365.7398998419576,0.02415466985980519,1.000993954461494,3.0,727.3598470937658,289.221718892147,26.25979349854111,7.58915651578229,460.0,rolled,1,24
1,1.0,142,12.545454545454549,107.27272727272728,1,3571.295426634208,3635.0907717106375,0.017863362577246633,1.0009985686051186,3.0,729.9116794242294,291.6242154249537,28.874819323969675,7.580814389071205,460.0,rolled,1,24
1,1.0,142,12.545454545454549,118.18181818181816,1,3837.483424001443,3906.18012690657,0.017901498277612227,1.0009990278463354,3.0,731.50438171828,292.54386744399136,31.719690501396492,7.505068004030807,460.0,rolled,1,24
1,1.0,142,12.545454545454549,129.0909090909091,1,4106.19381133988,4239.0065872855175,0.032344497616954904,1.0009949621297811,2.0,731.4091545431302,293.2295324721792,30.8463545634835,11.185424844957643,460.0,rolled,1,24
1,1.0,142,12.545454545454549,140.0,1,4431.563898254406,4527.131467183307,0.02156520161348574,1.000999795640183,3.0,750.0,300.0,35.0,9.294026641909092,460.0,rolled,1,24
1,1.0,142,13.363636363636363,20.0,1,1408.076363691634,1393.405747865279,-0.010418906392187566,1.00099220989456,3.0,517.2500006040498,259.9130668651542,11.30844609228174,6.0,355.0,rolled,1,24
1,1.0,142,13.363636363636363,30.909090909090907,1,1720.040315347003,1755.5977798318813,0.0206724599229553,1.0009981544070001,3.0,566.3490970420979,287.1439288971296,13.778627392113831,6.0,355.0,rolled,1,24
1,1.0,142,13.363636363636363,41.81818181818181,1,2138.6377928116376,2200.1102229951184,0.028743731355585833,1.0009939160386627,3.0,562.9904641820156,283.5553607293716,16.36828573617325,6.0,460.0,rolled,1,24
1,1.0,142,13.363636363636363,52.72727272727273,1,2503.477994394611,2589.2199752938204,0.034249145025915695,1.0009910711204586,3.0,718.324502774306,280.3475971760395,21.29426877323635,6.657065109138996,355.0,rolled,1,24
1,1.0,142,13.363636363636363,63.63636363636363,1,2942.666807874382,2961.0511739529084,0.0062475187572481605,1.0009928374420516,3.0,717.0787029503849,287.2893454864437,25.042136451641593,6.611681982341755,355.0,rolled,1,24
1,1.0,142,13.363636363636363,74.54545454545453,1,3246.8124640164788,3357.1693909832957,0.033989313577507785,1.0009968581814697,3.0,716.4237476729604,287.06875415976384,29.64186375937873,6.53580221907297,355.0,rolled,1,24
1,1.0,142,13.363636363636363,85.45454545454545,1,3626.480295778446,3731.820286635642,0.029047446081486017,1.0009909146294054,3.0,724.7288494785946,288.4421706993526,27.80486092346857,7.624159268115739,460.0,rolled,0,24
